Stock #,VIN,Year,Make,Model,Odometer,Certified,Photo Count,Color,Interior,Price,"AutoTrader.com
SRP","AutoTrader.com
VDP",MMR Wholesale,KBB Lending,Age,timestamp
FR685946T,1GKS2CKJ4FR685946,2015,GMC,Yukon,66395.0,No,8,Summit White,Jet Black Leather,46815.0,53.0,0.0,36900,42953,8,2021-09-02 05:03:52
C2049156T,JTJBC1BA8C2049156,2012,Lexus,RX,91863.0,No,0,Obsidian,Black w/Smooth Perforated Leather Seat Trim,19830.0,182.0,2.0,12350,17036,9,2021-09-02 05:03:52
ER386766T,2C4RC1BG7ER386766,2014,Chrysler,Town & Country,60093.0,No,4,Maximum Steel Metallic Clearcoat,Black/Light Graystone Leather,15825.0,133.0,3.0,10050,14023,9,2021-09-02 05:03:52
FA172811T,1HGCR2F86FA172811,2015,Honda,Accord,59507.0,No,0,White,Leather,19785.0,50.0,2.0,16600,18058,9,2021-09-02 05:03:52
KF632454P,WDC0G4KB3KF632454,2019,Mercedes-Benz,GLC,12504.0,No,16,Polar White,Black w/MB-Tex Upholstery,39890.0,88.0,1.0,38400,39710,9,2021-09-02 05:03:52
JM174683U,3TMCZ5ANXJM174683,2018,Toyota,Tacoma,39963.0,No,18,Midnight Black Metallic,Black Pkg/Gun Metal w/Leather Seat Trim,39780.0,109.0,0.0,29800,38291,10,2021-09-02 05:03:52
E0391330T,JTDKN3DU0E0391330,2014,Toyota,Prius,139276.0,No,7,Blizzard Pearl,Dark Gray w/Fabric Seat Trim,11535.0,1226.0,35.0,7750,8860,11,2021-09-02 05:03:52
KA494683T,WDDZF4KB2KA494683,2019,Mercedes-Benz,E-Class,15810.0,No,5,Black,Black w/MB-Tex Upholstery,51815.0,160.0,5.0,43100,45948,11,2021-09-02 05:03:52
EC101190T,1C4RJFBG9EC101190,2014,Jeep,Grand Cherokee,116672.0,No,15,Deep Cherry Red Crystal Pearlcoat,Black/Lt Frost Beige Leather,18860.0,220.0,1.0,14700,17319,11,2021-09-02 05:03:52
EC517307T,5N1AL0MM9EC517307,2014,INFINITI,QX60,70870.0,No,10,Midnight Garnet,Graphite Leather,22470.0,233.0,0.0,16000,19639,11,2021-09-02 05:03:52
EA411990T,4JGDA5HB3EA411990,2014,Mercedes-Benz,M-Class,70885.0,No,21,,Black w/MB-Tex Leatherette Seat Trim,23855.0,142.0,2.0,19400,21788,12,2021-09-02 05:03:52
G0197743T,1G6AX5SS7G0197743,2016,Cadillac,CTS,92243.0,No,4,Crystal White Tricoat,Jet Black With Jet Black Accents Leather,23785.0,369.0,3.0,19150,19350,12,2021-09-02 05:03:52
FK203204T,WBA3C3C50FK203204,2015,BMW,3 Series,42460.0,No,17,Mineral Grey Metallic,Black,19830.0,275.0,10.0,15750,17946,12,2021-09-02 05:03:52
EF720894T,WBA3N9C50EF720894,2014,BMW,4 Series,55188.0,No,21,Jet Black,Black w/SensaTec Leatherette Upholstery,21820.0,182.0,1.0,18850,21516,12,2021-09-02 05:03:52
GP233395P,WDAPF4CC8GP233395,2016,Mercedes-Benz,Sprinter 3500,7581.0,No,11,Brilliant Silver Metallic,Black w/Leatherette Seat Trim,129900.0,2605.0,103.0,67800,52512,13,2021-09-02 05:03:52
HA108563P,WDDZF4KB2HA108563,2017,Mercedes-Benz,E-Class,52790.0,No,10,Black,Black w/MB-Tex Upholstery,34715.0,264.0,7.0,29800,31802,13,2021-09-02 05:03:52
LCE42275T,WBAGV4C03LCE42275,2020,BMW,8 Series,808.0,No,0,White Metallic,Tartufo/Black Leather,84900.0,654.0,4.0,-,83244,13,2021-09-02 05:03:52
HN430542P,WDDSJ4GB2HN430542,2017,Mercedes-Benz,CLA,36638.0,No,18,Cirrus White,Black w/MB-Tex Leatherette Seat Trim,26840.0,209.0,3.0,25700,26043,14,2021-09-02 05:03:52
JF740863P,WDDWJ4KB4JF740863,2018,Mercedes-Benz,C-Class,15869.0,Yes,10,Polar White,Black w/MB-Tex Upholstery,40720.0,324.0,6.0,33400,37317,14,2021-09-02 05:03:52
KM163688T,3VWE57BU3KM163688,2019,Volkswagen,Jetta,32236.0,No,25,Blue,Titan Black w/Cloth Seat Trim,21760.0,110.0,1.0,20500,22724,14,2021-09-02 05:03:52
JF068988P,WDD1J6GB7JF068988,2018,Mercedes-Benz,E-Class,23102.0,No,10,Selenite Gray Metallic,Black w/Leather Upholstery,51660.0,528.0,25.0,45200,46567,14,2021-09-02 05:03:52
JB199290C3,4JGDA5JB0JB199290,2018,Mercedes-Benz,GLE,19129.0,No,25,Polar White,Espresso Brown w/MB-Tex Leatherette Seat Trim,47790.0,188.0,5.0,40200,40876,15,2021-09-02 05:03:52
GF011450T,WDC0G4KB3GF011450,2016,Mercedes-Benz,GLC,64841.0,No,11,Lunar Blue Metallic,Silk Beige/Black w/MB-Tex Upholstery,29620.0,142.0,3.0,24200,25355,16,2021-09-02 05:03:52
KU288031C3,55SWF8EB6KU288031,2019,Mercedes-Benz,C-Class,12081.0,No,6,Polar White,AMG Silk Beige w/MB-Tex Upholstery,41625.0,223.0,13.0,36900,37839,16,2021-09-02 05:03:52
GKA42024T,WP1AF2A28GKA42024,2016,Porsche,Cayenne,33761.0,No,19,Black,Leather,55995.0,2239.0,123.0,43200,42689,16,2021-09-02 05:03:52
HA150079PP,WDDZF4KB9HA150079,2017,Mercedes-Benz,E-Class,42784.0,No,25,Black,Macchiato Beige/Espresso w/MB-Tex Upholstery,33755.0,505.0,15.0,31000,32864,17,2021-09-02 05:03:52
JV110962P,WDC0G4KB3JV110962,2018,Mercedes-Benz,GLC,21691.0,No,14,Polar White,Black w/MB-Tex Upholstery,37585.0,225.0,3.0,35600,36342,17,2021-09-02 05:03:52
M9G70314U,5UX2V1C08M9G70314,2021,BMW,X4,6980.0,No,25,Alpine White,Tacora Red w/Contrast Stitching w/Vernasca Leather Upholstery,59185.0,486.0,13.0,52900,55971,17,2021-09-02 05:03:52
